"I
 කො�ොටස: (I)
: (I) කොෙදය
 කොෙදය –"
"Part I: Sec. (I)"
"120.  P. D. I. Manohari"
"121.  S. N. Liyanage"
"122.  D. D. P. Sudarshani"
"123.  H. R. C. Sujeewa"
"124.  W. A. Jayasena"
"125.  S. D. S. Shantha"
"126.  S. B. R. N. K. Samarakoon"
"127.  V. D. Susantha"
"128. 1. A. L.  Wasantha"
"129.  I. A. P. K. Priyadarshana"
"130.  H. S. Hettiarachchi"
"131.  D. R. Dassanayake"
"132.  E. A. D. S. I. Edirisinghe"
"133.  K. N. G.  Withanage"
"134.  P. A. S. J. Perera"
"135. P. N. R. K. Peiris"
"136.  T. A. N. Jayathilaka"
"137.  S. Gunasekera"
"138.  K. A. S. P. Kumari"
"139. J. P. N. S. Jayalath"
"140.  Y. K. G. D. B. Yatiwella"
"141.  R. M. C. Senavirathne"
"142.  D. R. N. Deraniyagala"
"143.  P. C. Prasad"
"144.  W. M. M. Nishanthi"
"145.  A. J. M. I. D. Abeykoon"
"146.  P. I. U. Jayasri"
"147.  K. A. Chandralatha"
"148.  S. M. T. R. Priyantha"
"149.  K. G. P. Wijelatha"
"150.  H. R. S. Peiris"
"151. J. A. Kumara"
"152.  R. M. P. J. Rathnayake"
"153.  S. S. M. A. P. Sannasgala"
"154.  R. M. D. Gunaratne"
"155.  I. M. N. D. Lankadikari"
"156.  D. S. A. I.  Wickramasinghe"
"157.  R. M. M. Rathnayake"
"158.  M. D. Rathnasiri"
"159.  D. M. S. C. K. K. Dissanayake"
"160.  D. M. A. Shantha"
"161.  B. M. P. Rudrigu"
"162.  M. A. M. Amanulla"
"163.  K. P. I. Rangana"
"164.  M. C. P. Lakmal"
"165.  H. S. D. P. S. Jayawardena"
"166.  B. A. D. Premalal"
"167.  K. P. Koralagoda"
"168.  H. K. S. M. Abeyratne"
"169.  P. T. D. Peiris"
"170.  R. D. S. Priyadarshana"
"171.  S. M. G. De A.  Wijerathne"
"172.  K. Chandrasiri"
